   0.00000    3.00000    8.00000    0.00000
   0.10000    2.90193    8.00000    0.98067
   0.20000    2.70580    8.00000    1.96133
   0.30000    2.41160    8.00000    2.94199
   0.40000    2.01933    8.00000    3.92266
   0.50000    1.52900    8.00000    4.90332
   0.60000    0.94060    8.00000    5.88399
   0.70000    0.25414    8.00000    6.86465
   0.80000    0.00000    8.00000   -2.35360
   0.90000    0.13729    8.00000   -1.37293
   1.00000    0.17652    8.00000   -0.39227
   1.10000    0.11768    8.00000    0.58840
   1.20000    0.00000    8.00000   -0.47072
