   2 3.6434520381 0.43701938 3.6182601159 0.25743235
   4 3.6297146120 0.05832739 3.6274785975 0.00331158
   6 3.6281643702 0.01559273 3.6275948335 0.00010737
   8 3.6278101915 0.00582928 3.6275981013 0.00001729
  10 3.6276955106 0.00266794 3.6275985209 0.00000572
  12 3.6276494943 0.00139943 3.6275986423 0.00000237
  14 3.6276281073 0.00080987 3.6275986876 0.00000113
  16 3.6276170394 0.00050477 3.6275987071 0.00000059
  18 3.6276108211 0.00033335 3.6275987164 0.00000033
  20 3.6276070933 0.00023059 3.6275987213 0.00000020
  22 3.6276047379 0.00016566 3.6275987240 0.00000012
  24 3.6276031837 0.00012281 3.6275987255 0.00000008
  26 3.6276021201 0.00009349 3.6275987265 0.00000005
  28 3.6276013694 0.00007280 3.6275987271 0.00000004
  30 3.6276008252 0.00005780 3.6275987275 0.00000003
  32 3.6276004215 0.00004667 3.6275987278 0.00000002
  34 3.6276001159 0.00003825 3.6275987279 0.00000001
  36 3.6275998804 0.00003176 3.6275987281 0.00000001
  38 3.6275996960 0.00002667 3.6275987282 0.00000001
  40 3.6275995496 0.00002264 3.6275987282 0.00000001
  42 3.6275994318 0.00001939 3.6275987283 0.00000001
  44 3.6275993359 0.00001675 3.6275987283 0.00000000
  46 3.6275992571 0.00001457 3.6275987283 0.00000000
  48 3.6275991917 0.00001277 3.6275987284 0.00000000
  50 3.6275991370 0.00001126 3.6275987284 0.00000000
  52 3.6275990907 0.00000999 3.6275987284 0.00000000
  54 3.6275990514 0.00000890 3.6275987284 0.00000000
  56 3.6275990178 0.00000798 3.6275987284 0.00000000
  58 3.6275989888 0.00000718 3.6275987284 0.00000000
  60 3.6275989637 0.00000649 3.6275987284 0.00000000
  62 3.6275989419 0.00000588 3.6275987284 0.00000000
  64 3.6275989227 0.00000535 3.6275987284 0.00000000
  66 3.6275989059 0.00000489 3.6275987284 0.00000000
  68 3.6275988910 0.00000448 3.6275987285 0.00000000
  70 3.6275988778 0.00000412 3.6275987285 0.00000000
  72 3.6275988661 0.00000379 3.6275987285 0.00000000
  74 3.6275988556 0.00000351 3.6275987285 0.00000000
  76 3.6275988462 0.00000325 3.6275987285 0.00000000
  78 3.6275988378 0.00000301 3.6275987285 0.00000000
  80 3.6275988301 0.00000280 3.6275987285 0.00000000
  82 3.6275988232 0.00000261 3.6275987285 0.00000000
  84 3.6275988169 0.00000244 3.6275987285 0.00000000
  86 3.6275988112 0.00000228 3.6275987285 0.00000000
  88 3.6275988060 0.00000214 3.6275987285 0.00000000
  90 3.6275988013 0.00000201 3.6275987285 0.00000000
  92 3.6275987969 0.00000189 3.6275987285 0.00000000
  94 3.6275987929 0.00000178 3.6275987285 0.00000000
  96 3.6275987892 0.00000168 3.6275987285 0.00000000
  98 3.6275987859 0.00000158 3.6275987285 0.00000000
 100 3.6275987827 0.00000150 3.6275987285 0.00000000
